Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 185/1561 | F1: 0.31 | J: 1 | Rec: 1
[DENSE] Sample 186/1561 | F1: 0.47 | J: 0 | Rec: 1
[DENSE] Sample 187/1561 | F1: 0.04 | J: 0 | Rec: 1
[DENSE] Sample 188/1561 | F1: 0.55 | J: 1 | Rec: 1
[DENSE] Sample 189/1561 | F1: 0.56 | J: 1 | Rec: 1
[DENSE] Sample 190/1561 | F1: 0.08 | J: 1 | Rec: 0
[DENSE] Sample 191/1561 | F1: 0.12 | J: 1 | Rec: 0
[DENSE] Sample 192/1561 | F1: 0.14 | J: 1 | Rec: 0
[DENSE] Sample 193/1561 | F1: 0.37 | J: 1 | Rec: 1
[DENSE] Sample 194/1561 | F1: 0.78 | J: 1 | Rec: 1
[DENSE] Sample 195/1561 | F1: 0.52 | J: 1 | Rec: 1
[DENSE] Sample 196/1561 | F1: 0.81 | J: 0 | Rec: 0
[DENSE] Sample 197/1561 | F1: 0.20 | J: 1 | Rec: 1
[DENSE] Sample 198/1561 | F1: 0.26 | J: 1 | Rec: 1
[DENSE] Sample 199/1561 | F1: 0.83 | J: 1 | Rec: 1
[DENSE] Sample 200/1561 | F1: 0.62 | J: 1 | Rec: 1
[DENSE] Sample 201/1561 | F1: 0.68 | J: 1 | Rec: 0
[DENSE] Sample 202/1561 | F1: 0.18 | J: 1 | Rec: 0
[DENSE] Sample 203/1561 | F1: 0.20 | J: 0 | Rec: 0
[DENSE] Sample 204/1561 | F1: 0.24 | J: 0 | Rec: 0
[DENSE] Sample 205/1561 | F1: 0.21 | J: 0 | Rec: 0
[DENSE] Sample 206/1561 | F1: 0.18 | J: 0 | Rec: 0
[DENSE] Sample 207/1561 | F1: 0.28 | J: 0 | Rec: 0
[DENSE] Sample 208/1561 | F1: 0.62 | J: 1 | Rec: 0
