Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 240/1561 | F1: 0.44 | J: 1 | Rec: 1
[HYBRID] Sample 241/1561 | F1: 0.10 | J: 1 | Rec: 0
[HYBRID] Sample 242/1561 | F1: 0.54 | J: 1 | Rec: 1
[HYBRID] Sample 243/1561 | F1: 0.26 | J: 0 | Rec: 0
[HYBRID] Sample 244/1561 | F1: 0.74 | J: 1 | Rec: 0
[HYBRID] Sample 245/1561 | F1: 0.58 | J: 1 | Rec: 0
[HYBRID] Sample 246/1561 | F1: 0.58 | J: 1 | Rec: 1
[HYBRID] Sample 247/1561 | F1: 0.51 | J: 1 | Rec: 0
[HYBRID] Sample 248/1561 | F1: 0.31 | J: 1 | Rec: 1
[HYBRID] Sample 249/1561 | F1: 0.28 | J: 0 | Rec: 0
[HYBRID] Sample 250/1561 | F1: 0.78 | J: 1 | Rec: 1
[HYBRID] Sample 251/1561 | F1: 0.28 | J: 1 | Rec: 1
[HYBRID] Sample 252/1561 | F1: 0.30 | J: 1 | Rec: 0
[HYBRID] Sample 253/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 254/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 255/1561 | F1: 0.35 | J: 1 | Rec: 1
[HYBRID] Sample 256/1561 | F1: 0.54 | J: 1 | Rec: 0
[HYBRID] Sample 257/1561 | F1: 0.27 | J: 1 | Rec: 1
[HYBRID] Sample 258/1561 | F1: 0.43 | J: 1 | Rec: 1
[HYBRID] Sample 259/1561 | F1: 0.42 | J: 1 | Rec: 1
