Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4147.58it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Starting execution for 1561 samples (Method: bm25)...
[BM25] Sample 191/1561 | F1: 0.12 | J: 1 | Rec: 0
[BM25] Sample 192/1561 | F1: 0.21 | J: 1 | Rec: 1
[BM25] Sample 193/1561 | F1: 0.56 | J: 1 | Rec: 1
[BM25] Sample 194/1561 | F1: 0.83 | J: 1 | Rec: 1
[BM25] Sample 195/1561 | F1: 0.70 | J: 1 | Rec: 1
[BM25] Sample 196/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 197/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 198/1561 | F1: 0.54 | J: 1 | Rec: 1
[BM25] Sample 199/1561 | F1: 0.91 | J: 1 | Rec: 0
[BM25] Sample 200/1561 | F1: 0.67 | J: 1 | Rec: 1
[BM25] Sample 201/1561 | F1: 0.52 | J: 1 | Rec: 0
[BM25] Sample 202/1561 | F1: 0.48 | J: 1 | Rec: 1
[BM25] Sample 203/1561 | F1: 0.73 | J: 1 | Rec: 1
[BM25] Sample 204/1561 | F1: 0.32 | J: 1 | Rec: 0
[BM25] Sample 205/1561 | F1: 0.24 | J: 0 | Rec: 0
[BM25] Sample 206/1561 | F1: 0.15 | J: 1 | Rec: 0
[BM25] Sample 207/1561 | F1: 1.00 | J: 1 | Rec: 1
[BM25] Sample 208/1561 | F1: 0.59 | J: 1 | Rec: 0
[BM25] Sample 209/1561 | F1: 0.44 | J: 1 | Rec: 0
[BM25] Sample 210/1561 | F1: 0.71 | J: 1 | Rec: 1
[BM25] Sample 211/1561 | F1: 0.40 | J: 1 | Rec: 0
[BM25] Sample 212/1561 | F1: 0.44 | J: 0 | Rec: 0
[BM25] Sample 213/1561 | F1: 0.56 | J: 1 | Rec: 0
[BM25] Sample 214/1561 | F1: 0.85 | J: 1 | Rec: 1
[BM25] Sample 215/1561 | F1: 0.34 | J: 0 | Rec: 0
[BM25] Sample 216/1561 | F1: 0.37 | J: 0 | Rec: 1
[BM25] Sample 217/1561 | F1: 0.50 | J: 1 | Rec: 0
[BM25] Sample 218/1561 | F1: 0.52 | J: 1 | Rec: 0
[BM25] Sample 219/1561 | F1: 0.31 | J: 1 | Rec: 1
[BM25] Sample 220/1561 | F1: 0.31 | J: 1 | Rec: 1
[BM25] Sample 221/1561 | F1: 0.69 | J: 1 | Rec: 1
[BM25] Sample 222/1561 | F1: 0.68 | J: 1 | Rec: 1
[BM25] Sample 223/1561 | F1: 0.35 | J: 0 | Rec: 0
[BM25] Sample 224/1561 | F1: 1.00 | J: 1 | Rec: 1
[BM25] Sample 225/1561 | F1: 0.73 | J: 1 | Rec: 1
[BM25] Sample 226/1561 | F1: 0.38 | J: 1 | Rec: 1
[BM25] Sample 227/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 228/1561 | F1: 0.81 | J: 1 | Rec: 1
[BM25] Sample 229/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 230/1561 | F1: 0.13 | J: 0 | Rec: 0
[BM25] Sample 231/1561 | F1: 0.82 | J: 1 | Rec: 1
[BM25] Sample 232/1561 | F1: 0.77 | J: 1 | Rec: 1
[BM25] Sample 233/1561 | F1: 0.38 | J: 0 | Rec: 1
[BM25] Sample 234/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 235/1561 | F1: 0.13 | J: 1 | Rec: 1
[BM25] Sample 236/1561 | F1: 0.57 | J: 1 | Rec: 0
[BM25] Sample 237/1561 | F1: 0.78 | J: 1 | Rec: 1
[BM25] Sample 238/1561 | F1: 0.45 | J: 1 | Rec: 0
[BM25] Sample 240/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 239/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 241/1561 | F1: 0.12 | J: 0 | Rec: 0
[BM25] Sample 242/1561 | F1: 0.25 | J: 0 | Rec: 1
[BM25] Sample 243/1561 | F1: 0.23 | J: 0 | Rec: 0
[BM25] Sample 244/1561 | F1: 0.62 | J: 1 | Rec: 0
[BM25] Sample 245/1561 | F1: 0.59 | J: 1 | Rec: 1
[BM25] Sample 246/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 247/1561 | F1: 0.62 | J: 1 | Rec: 0
[BM25] Sample 248/1561 | F1: 0.53 | J: 1 | Rec: 0
[BM25] Sample 249/1561 | F1: 0.61 | J: 1 | Rec: 0
[BM25] Sample 250/1561 | F1: 0.60 | J: 1 | Rec: 1
[BM25] Sample 251/1561 | F1: 0.24 | J: 1 | Rec: 1
[BM25] Sample 252/1561 | F1: 0.29 | J: 1 | Rec: 0
[BM25] Sample 253/1561 | F1: 0.49 | J: 1 | Rec: 1
[BM25] Sample 254/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 255/1561 | F1: 0.44 | J: 1 | Rec: 1
[BM25] Sample 256/1561 | F1: 0.55 | J: 1 | Rec: 0
[BM25] Sample 257/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 258/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 259/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 260/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 261/1561 | F1: 0.55 | J: 1 | Rec: 1
[BM25] Sample 262/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 263/1561 | F1: 0.37 | J: 1 | Rec: 1
[BM25] Sample 264/1561 | F1: 0.40 | J: 1 | Rec: 0
[BM25] Sample 265/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 266/1561 | F1: 0.39 | J: 1 | Rec: 0
[BM25] Sample 267/1561 | F1: 0.48 | J: 1 | Rec: 1
[BM25] Sample 268/1561 | F1: 0.61 | J: 1 | Rec: 1
[BM25] Sample 269/1561 | F1: 0.54 | J: 1 | Rec: 1
[BM25] Sample 270/1561 | F1: 0.42 | J: 1 | Rec: 1
[BM25] Sample 271/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 272/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 273/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 274/1561 | F1: 0.20 | J: 0 | Rec: 0
[BM25] Sample 275/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 276/1561 | F1: 0.60 | J: 1 | Rec: 1
[BM25] Sample 277/1561 | F1: 0.51 | J: 1 | Rec: 0
[BM25] Sample 278/1561 | F1: 0.32 | J: 1 | Rec: 0
[BM25] Sample 279/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 280/1561 | F1: 0.32 | J: 1 | Rec: 0
[BM25] Sample 281/1561 | F1: 0.68 | J: 1 | Rec: 1
[BM25] Sample 282/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 283/1561 | F1: 0.33 | J: 1 | Rec: 1
[BM25] Sample 284/1561 | F1: 0.51 | J: 1 | Rec: 1
[BM25] Sample 285/1561 | F1: 0.49 | J: 1 | Rec: 1
[BM25] Sample 286/1561 | F1: 0.39 | J: 1 | Rec: 1
[BM25] Sample 287/1561 | F1: 0.30 | J: 1 | Rec: 1
[BM25] Sample 288/1561 | F1: 0.80 | J: 1 | Rec: 0
[BM25] Sample 289/1561 | F1: 0.39 | J: 1 | Rec: 1
[BM25] Sample 290/1561 | F1: 0.55 | J: 0 | Rec: 1
[BM25] Sample 291/1561 | F1: 0.87 | J: 1 | Rec: 1
[BM25] Sample 292/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 293/1561 | F1: 0.76 | J: 1 | Rec: 1
[BM25] Sample 294/1561 | F1: 0.83 | J: 1 | Rec: 1
[BM25] Sample 295/1561 | F1: 0.37 | J: 1 | Rec: 1
[BM25] Sample 296/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 297/1561 | F1: 0.33 | J: 1 | Rec: 1
[BM25] Sample 298/1561 | F1: 0.26 | J: 0 | Rec: 0
[BM25] Sample 299/1561 | F1: 0.37 | J: 0 | Rec: 1
[BM25] Sample 300/1561 | F1: 0.70 | J: 1 | Rec: 0
[BM25] Sample 301/1561 | F1: 0.75 | J: 1 | Rec: 1
[BM25] Sample 302/1561 | F1: 0.54 | J: 1 | Rec: 1
[BM25] Sample 303/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 304/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 305/1561 | F1: 0.39 | J: 1 | Rec: 1
[BM25] Sample 306/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 307/1561 | F1: 0.36 | J: 1 | Rec: 0
[BM25] Sample 308/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 309/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 310/1561 | F1: 0.64 | J: 1 | Rec: 1
[BM25] Sample 311/1561 | F1: 0.47 | J: 0 | Rec: 1
[BM25] Sample 312/1561 | F1: 0.38 | J: 1 | Rec: 1
[BM25] Sample 313/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 314/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 315/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 316/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 317/1561 | F1: 0.39 | J: 0 | Rec: 1
[BM25] Sample 318/1561 | F1: 0.56 | J: 1 | Rec: 1
[BM25] Sample 319/1561 | F1: 0.40 | J: 0 | Rec: 1
[BM25] Sample 320/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 321/1561 | F1: 0.49 | J: 1 | Rec: 1
[BM25] Sample 322/1561 | F1: 0.36 | J: 1 | Rec: 1
[BM25] Sample 323/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 324/1561 | F1: 0.35 | J: 1 | Rec: 1
[BM25] Sample 325/1561 | F1: 0.19 | J: 1 | Rec: 1
[BM25] Sample 326/1561 | F1: 0.60 | J: 1 | Rec: 1
[BM25] Sample 327/1561 | F1: 0.48 | J: 1 | Rec: 1
[BM25] Sample 328/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 329/1561 | F1: 0.47 | J: 1 | Rec: 1
[BM25] Sample 330/1561 | F1: 0.70 | J: 1 | Rec: 0
[BM25] Sample 331/1561 | F1: 0.33 | J: 1 | Rec: 1
[BM25] Sample 332/1561 | F1: 0.65 | J: 1 | Rec: 1
[BM25] Sample 333/1561 | F1: 0.55 | J: 1 | Rec: 0
[BM25] Sample 334/1561 | F1: 0.50 | J: 1 | Rec: 1
[BM25] Sample 335/1561 | F1: 0.56 | J: 1 | Rec: 1
[BM25] Sample 336/1561 | F1: 0.31 | J: 1 | Rec: 0
[BM25] Sample 337/1561 | F1: 0.30 | J: 1 | Rec: 0
[BM25] Sample 338/1561 | F1: 0.24 | J: 1 | Rec: 1
[BM25] Sample 339/1561 | F1: 0.66 | J: 1 | Rec: 1
[BM25] Sample 340/1561 | F1: 0.47 | J: 1 | Rec: 0
[BM25] Sample 341/1561 | F1: 0.34 | J: 1 | Rec: 0
[BM25] Sample 342/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 343/1561 | F1: 0.34 | J: 1 | Rec: 1
[BM25] Sample 344/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 345/1561 | F1: 0.36 | J: 1 | Rec: 1
[BM25] Sample 346/1561 | F1: 0.58 | J: 1 | Rec: 1
[BM25] Sample 347/1561 | F1: 0.26 | J: 0 | Rec: 0
[BM25] Sample 348/1561 | F1: 0.34 | J: 1 | Rec: 0
[BM25] Sample 349/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 350/1561 | F1: 0.45 | J: 1 | Rec: 1
[BM25] Sample 351/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 352/1561 | F1: 0.47 | J: 1 | Rec: 1
[BM25] Sample 353/1561 | F1: 0.25 | J: 1 | Rec: 1
[BM25] Sample 354/1561 | F1: 0.28 | J: 1 | Rec: 1
[BM25] Sample 355/1561 | F1: 0.52 | J: 1 | Rec: 0
[BM25] Sample 356/1561 | F1: 0.45 | J: 1 | Rec: 0
[BM25] Sample 357/1561 | F1: 0.49 | J: 1 | Rec: 1
[BM25] Sample 358/1561 | F1: 0.38 | J: 1 | Rec: 1
[BM25] Sample 359/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 360/1561 | F1: 0.34 | J: 1 | Rec: 1
[BM25] Sample 361/1561 | F1: 0.53 | J: 1 | Rec: 1
